Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Jamaica,JAM,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",SE.PRM.CUAT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1370163,,,,,,
Jamaica,JAM,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3533783,,,,,,
Jamaica,JAM,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,79.71842194,81.52394104,,87.67297363,85.00669861,86.23545074,,,88.89234161,85.53787994,86.53421783,89.99855804,92.12242126,94.76947784,95.29827118,92.40953827,,88.87930298,,,,,,,86.36428833,80.840271,86.67758942,,86.59954071,,,,,,,,,,,,,
Jamaica,JAM,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,,,,,,,,,,,,,,,,,75.01959229,76.56218719,,82.01200867,80.69013977,80.58670044,,,84.65573883,,,86.60913849,88.17952728,90.85347748,91.90383911,88.44896698,,86.27500916,,,,,,,83.77906036,77.67829132,83.59181213,,85.0280304,,,,,,,,,,,,,
Jamaica,JAM,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,84.4896698,86.56655884,,93.49478149,89.48474884,92.12458801,,,93.2909317,,,93.49601746,96.17054749,98.76934052,98.75061798,96.4263916,,91.51428223,,,,,,,88.99002838,84.06246948,89.87345886,,88.24359894,,,,,,,,,,,,,
Jamaica,JAM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.68778915,37.22825387,41.37325733,33.90499497,33.38541823,33.38522408,42.54745311,38.76909424,35.94455469,53.9069334,60.99087214,48.54581729,57.07147662,58.02613649,60.01964279,51.3628732,40.04250938,38.68367106,42.11364935,35.11423657,42.06224795,47.01105843,
Jamaica,JAM,"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.5487812,86.95734918,104.2551829,105.1320188,109.7558346,93.07133253,72.12261698,68.81854419,75.50905157,63.55801266,76.41461506,85.05763772,
Jamaica,JAM,"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4163996,10.90317763,10.77845423,11.72621213,11.04180882,10.22356468,8.35937736,8.889934214,9.069086206,6.953174541,8.039482174,9.329528074,
Jamaica,JAM,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,2000,,,,3500,29
Jamaica,JAM,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,,52.24618149,54.04483431,55.78635015,60.46581972,65.36923487,71.30520602,75.66114814,77.94654874,75.64643316,73.26117814,75.05656109,76.09707029,72.92588125,72.90384847,77.0169144,81.46510894,81.45632899,78.02888307,66.83195592,68.18065833,69.38762546,67.63966982,68.67290149,65.64744511,67.02882149,65.98832539,64.26076462,64.43958343,63.55981821,67.31079891,71.5543637,71.54882916,71.51388217,73.61668236,76.96029722,77.78111698,76.00910383,76.18820785,77.21184934,79.2977104,79.67238468,
Jamaica,JAM,"Smoking prevalence, females (% of adults)",SH.PRV.SMOK.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,,,,,7.6,,,,,6.4,6.2,6,5.9,5.7,5.5,5.3,
Jamaica,JAM,"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,,,,,17.7,,,,,17.1,17.1,17,17,16.9,16.8,16.8,
Jamaica,JAM,Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7,38.9,38.1,37.3,36.5,35.7,34.9,34.2,33.4,32.7,31.9,31.2,30.6,30.1,29.5,29,28.5,28,27.5,27.1,26.7,26.5,26.4,26.4,26.4,26.7,27,
Jamaica,JAM,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278289763,0.269090267,0.262561188,0.260780041,0.258069211,0.256735184,0.258703379,0.258165068,0.257250821,0.254126379,0.251087299,0.243961379,0.237697853,0.231347018,0.227482271,0.227877625,0.22171401,0.223657936,0.220398321,0.219289145,0.214490262,0.213146053,0.208064721,0.203124122,0.199065558,0.193707567,,
Jamaica,JAM,Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,370,380,380,390,390,390,390,390,390,400,410,420,430,440,440,450,450,450,460,470,470,480,490,500,520,,
Jamaica,JAM,Number of maternal deaths,SH.MMR.DTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,48,47,48,48,48,49,50,50,50,50,49,48,48,47,47,46,47,47,47,46,46,45,44,44,43,,
Jamaica,JAM,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.386,,,,,0.502,,,,,0.38,,,,,,,,,0.361,,0.359,,,0.489,,,,,,0.57,,,0.472,,0.57,1.401,1.401,,,,,,0.85,,,,,0.406,,,,0.364,0.482,0.392,0.429,0.472,
Jamaica,JAM,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.651,,,,,1.078,,,,1.555,1.479,1.474,1.499,1.666,
Jamaica,JAM,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268,,,,0.233,0.251,0.255,0.307,0.319,
Jamaica,JAM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.145488262,,,,,,,,,,4.104899883,,,,,4.999499798,,,,,,,,,,3.333300114,,,,2.400099993,2.200000048,,,2.100300074,,2.1,2.119999886,,,,,1.5,1.5,1.399999976,1.8,1.7,2,1.7,,1.7,1.9,,1.7,,,,,
Jamaica,JAM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,12,15,60,64,36,62,68,71,74,77,63,80,82,90,96,88,88,82,88,85,86,78,86,84,87,76,88,88,89,88,93,94,92,91,95,95
Jamaica,JAM,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,85,84,91,93,90,92,90,86,89,93,99,99,96,98,99,95,92,91,90,94,92,96,93,92,91,99,93
Jamaica,JAM,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,98,99,97,92,92,90,94,92,96,93,92,91,98,93
Jamaica,JAM,Incidence of HIV (% of uninfected population ages 15-49),SH.HIV.INCD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.36,0.39,0.41,0.34,0.31,0.29,0.28,0.25,0.23,0.22,0.2,0.19,0.18,0.16,0.16,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12
Jamaica,JAM,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,4400,4800,5100,4300,4000,3900,3700,3400,3200,3000,2900,2700,2600,2400,2400,2300,2100,2100,2000,2000,2000,2000,2000,2000,2000,1900,1900
Jamaica,JAM,Children (ages 0-14) newly infected with HIV,SH.HIV.INCD.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,200,200,200,200,200,500,500,500,500,200,200,200,200,200,100,100,100,100,100,100,100,100,100,100,100,100,100
Jamaica,JAM,Adults (ages 15+) newly infected with HIV,SH.HIV.INCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700,4300,4700,5000,4100,3800,3700,3500,3200,3000,2800,2700,2500,2400,2300,2300,2200,2100,2000,2000,2000,2000,2000,2000,2000,2000,1900,1900
Jamaica,JAM,Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,4,6,9,11,15,17,20,23,25,27,29,33,34
Jamaica,JAM,Children (0-14) living with HIV,SH.HIV.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,500,500,500,500,500,510,570,610,650,680,700,710,710,680,630,580,540,510,500,500,500,500,500,500,500,500
Jamaica,JAM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.77144599,90.93378775,91.09041417,91.24484842,91.39871181,91.55155873,91.70372019,91.8549819,92.0055539,92.15523041,92.30411539,92.45230426,92.60063048,92.74921257,92.89788489,92.91854636,,
Jamaica,JAM,"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.49821357,96.53012965,96.56204572,96.59396179,96.62587787,96.65779394,96.68971001,96.72162609,96.75354216,96.78545823,96.81737431,96.84929038,96.88120645,96.91312253,96.9450386,96.9450386,,
Jamaica,JAM,"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.61350103,84.85819626,85.1028915,85.34758673,85.59228196,85.8369772,86.08167243,86.32636766,86.57106289,86.81575813,87.06045336,87.30514859,87.54984383,87.79453906,88.03923429,88.03923429,,
Jamaica,JAM,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.7,,,,77.7,,,,78.2,,,,,,82,,,,,,82.9,,,,,,,,
Jamaica,JAM,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,34.5,33.3,32.2,31.1,30,29,28,27.1,26.2,25.4,24.6,23.9,23.3,22.9,22.6,22.4,22.2,22.1,22,22,21.9,21.9,21.8,21.8,21.6,21.3,21.1,20.8,20.6,20.3,20.1,19.9,19.7,19.4,19.1,18.8,18.6,18.3,18,17.7,17.3,16.8,16.3,15.8,15.3,14.9,14.5,14.2,13.9,13.7,13.3,13,12.6,12.2,11.9,11.5,11.1,10.8
Jamaica,JAM,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,,,,,16.1,,,,,15.3,,,,,14.8,14.7,
Jamaica,JAM,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1,,,,,,,,,,25.1,,,,,,,,,,20.9,,,,,18.1,,17
Jamaica,JAM,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,,,,,,,,,,19.5,,,,,,,,,,16.3,,,,,14.2,,13.3
Jamaica,JAM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,82.4,78.9,75.7,72.7,70.1,67.6,65.3,63.1,61,59,56.9,54.9,52.8,50.9,49.1,47.5,46,44.7,43.4,42.1,40.9,39.7,38.6,37.5,36.5,35.4,34.4,33.4,32.5,31.5,30.6,29.7,28.7,27.9,27,26.1,25.3,24.5,23.7,23,22.3,21.8,21.3,20.8,20.5,20.2,20,19.8,19.4,19.1,18.7,18.2,17.7,17.2,16.7,16.2,15.7,15.2
Jamaica,JAM,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.2,1.5,1.9,2.1,2.2,2.4,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.3,2.2,2.2,2.1,2,2,2,1.9,1.9,1.9,1.8,1.8,1.8,1.8
Jamaica,JAM,"Probability of dying at age 5-14 years (per 1,000 children age 5)",SH.DYN.0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,3.8,,,,,,,,,,3.2,,,,,2.8,,2.7
Jamaica,JAM,Number of neonatal deaths,SH.DTH.NMRT,2293,2252,2210,2151,2092,2021,1948,1869,1788,1707,1628,1555,1489,1439,1399,1372,1355,1350,1353,1362,1372,1382,1390,1394,1385,1363,1338,1311,1286,1261,1238,1219,1198,1174,1152,1132,1109,1083,1053,1018,978,935,891,850,813,781,755,733,711,691,667,645,621,599,576,555,534,512
Jamaica,JAM,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.4,,,,,,,,,,77,,,,,80,80,
Jamaica,JAM,Number of under-five deaths,SH.DTH.MORT,5274,5170,5051,4928,4798,4659,4507,4345,4171,3988,3796,3604,3413,3234,3073,2933,2815,2721,2644,2578,2526,2477,2429,2377,2319,2253,2183,2110,2037,1962,1889,1818,1752,1690,1630,1571,1511,1452,1394,1336,1278,1224,1176,1134,1100,1071,1047,1022,997,969,939,906,875,844,814,784,756,728
Jamaica,JAM,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,10.1,,,,,9,8.7,
Jamaica,JAM,Number of infant deaths,SH.DTH.IMRT,3957,3891,3815,3734,3647,3551,3444,3329,3201,3068,2928,2789,2651,2524,2409,2311,2231,2170,2120,2079,2048,2017,1984,1947,1903,1853,1798,1739,1681,1623,1566,1512,1461,1414,1367,1321,1274,1226,1178,1130,1082,1037,997,961,933,910,890,870,850,827,802,775,749,723,698,672,649,624
Jamaica,JAM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,,,,,,,,,,12.9,,,,,11,11.2,
Jamaica,JAM,Number of deaths ages 5-14 years,SH.DTH.0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,,,,,,,,,,212,,,,,,,,,,169,,,,,132,,121
Jamaica,JAM,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,37.3,36.1,34.9,33.8,32.7,31.8,30.9,30,29.2,28.4,27.7,27.1,26.5,26,25.5,24.9,24.2,23.5,22.9,22.3,21.9,21.6,21.5,21.5,21.9,22.4,
Jamaica,JAM,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4,37.9,36.7,35.5,34.4,33.5,32.5,31.8,31.2,30.6,30.1,29.7,29.5,29.3,29.1,28.9,28.7,28.5,28.1,27.9,27.7,27.5,27.3,27.2,27.3,27.4,27.7,
Jamaica,JAM,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7,37.4,36.2,35,33.9,32.9,32,31.1,30.2,29.4,28.6,27.9,27.3,26.7,26.2,25.6,25,24.4,23.7,23,22.5,22.1,21.8,21.7,21.7,22,22.5,
Jamaica,JAM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,11.7,13.6,13.3,13.3,13.3,,11.7,11.7,11.7,11.7,13.3,13.3,13.3,13.3,12.7,12.7,12.7,12.7,12.7,17.5,17.5
Jamaica,JAM,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",SG.DMK.SRCR.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,JAM,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),LP.LPI.CUST.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,,,2,,2.22,,2.877505,,2.366146,
Jamaica,JAM,"Lead time to import, median case (days)",LP.IMP.DURS.MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,14,,3,,3,
Jamaica,JAM,"Lead time to export, median case (days)",LP.EXP.DURS.MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,14,,,,3,
Jamaica,JAM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.036817104,0.109487986,0.591145842,0.797797441,1.978726318,2.355688556,3.115778027,3.863020387,6.1,7.8,10,12.8,16.4,21.1,23.6,24.3,27.67,37.43861341,33.79,37.1,40.4027351,42.22122119,44.36685637,
Jamaica,JAM,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.13735575,32.16123878,51.74248995,71.1829377,85.60187024,122.2172933,122.8588633,138.7399712
Jamaica,JAM,Secure Internet servers,IT.NET.SECR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,91,147,203,245,351,354,401
Jamaica,JAM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.120843732,0.333896505,0.331795889,0.98945425,1.639539574,2.472322544,3.342428499,3.488127042,4.001345182,4.141863759,4.179865439,4.331092801,4.937781554,5.295226875,7.969890673,9.928245565,8.273192497
Jamaica,JAM,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3235,9000,9000,27000,45000,68243,92768,97323,112201,116685,118269,123046,140816,151554,228890,286068,239120
Jamaica,JAM,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,1.224134839,,,,,1.497495254,,,,,1.866287437,,,,,2.451008193,2.476783199,2.571450269,2.540766238,2.482545518,2.431109847,2.557537076,2.706225979,2.82420549,2.89746798,3.278746005,3.443337906,3.434359737,3.558712765,3.700222617,4.34300701,5.383909327,6.78403415,8.376788325,9.969204739,11.43916703,13.94469072,16.06640104,17.72343757,18.49513565,18.57539565,19.09973474,16.12987238,16.90960885,15.50144992,11.62251387,12.4151218,13.31869556,11.3468515,10.78609684,9.337429585,9.54474883,8.91037356,8.778293903,8.892112644,8.804136864,10.76621937,10.27668764
Jamaica,JAM,Fixed telephone subscriptions,IT.MLT.MAIN,19932,,,,,26300,,,,,35000,,,,,49700,50900,53500,53500,52945,52586,56204,60493,64213,66901,76678,81322,81713,85179,89091,105285,131566,167251,208480,250531,290262,357262,415610,462824,487325,493523,511302,434772,458675,423000,319000,342692,369656,316591,302451,263055,270068,253143,250340,254500,252849,310213,297027
Jamaica,JAM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100135492,0.309406894,0.611584301,1.038817787,1.778879501,2.132714648,2.551194958,3.010836853,5.479865892,13.81147097,22.33184697,46.1881262,58.11441871,67.3397643,72.19308092,82.40652485,96.71637242,97.6058753,105.41992,112.948449,104.0962109,95.56302869,99.80324755,105.0104347,109.2369463,113.3960932,106.9516337
Jamaica,JAM,Mobile cellular subscriptions,IT.CEL.SETS,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2447,7628,15221,26106,45138,54640,65995,78624,144388,366952,597826,1244976,1576360,1837552,1981464,2274650,2684331,2723323,2956061,3181995,2945395,2714938,2846196,3005490,3137213,3267344,3091222
Jamaica,JAM,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765977,983400,1065000,1137798,1360623,1671820,2150408,2016792,1915943,1689670,1891770,1756832,1855400,1703900,1638100,1653300,1653300,1689000
Jamaica,JAM,Liner shipping connectivity index (maximum value in 2004 = 100),IS.SHP.GCNW.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.32,21.99,23.02,25.5,18.23,19.56,33.09,28.16,21.57,25.32,24.55,21.73,20.05,
Jamaica,JAM,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,278700,425400,554900,568500,743300,696800,706500,601800,705900,795300,722700,727800,729600,716300,826000,887600,1058600,1257500,1188700,1210800,1003600,894000,983200,1037800,1011000,1126400,1388300,1400100,1453900,1669800,1922123,1946123,2016000,1838047,2007765,1573785,1526571,1618165,1644056,1380000,0,0,0,46272,76244,92836,136744,151326
Jamaica,JAM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,2.5,3.299999952,4.800000191,5.800000191,9.699999809,10.89999962,11,11.60000038,13.19999981,10.69999981,9.399999619,9.899999619,9.699999809,16.60000038,19.60000038,19.10000038,18.89999962,24.20000076,20.60000038,16.29999924,18.79999924,19.70000076,18.39999962,19.79999924,19.79999924,21.79999924,24.89999962,20.89999962,23.79999924,29.5,29.196,26.391,56.588,48.859,37.698,15.823,15.348,15.655,16.25,10.272,0,0,0,0,,1.396,4.506984,2.83938
Jamaica,JAM,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,18600,19500,21500,13700,16100,12600,23800,19800,20100,21100,20700,19500,20000,29200,26500,27700,21600,24000,23300,25200,21300,20900,20000,20000,18700,17000,18300,12300,12500,20600,16577,24440,23343,23976,23338,21787,21133,22401,22894,16840,0,0,0,492,953,997,1128,1181
